I_sc description
-8.472 3oduAB_INPUT_21980_0127
-8.471 3oduAB_INPUT_22048_0059
-8.458 3oduAB_INPUT_21757_0048
-8.448 3oduAB_INPUT_3717_0139
-8.448 3oduAB_INPUT_22479_0179
-8.446 3oduAB_INPUT_22723_0080
-8.443 3oduAB_INPUT_21957_0092
-8.434 3oduAB_INPUT_22479_0110
-8.433 3oduAB_INPUT_21850_0091
-8.432 3oduAB_INPUT_22010_0185
-8.430 3oduAB_INPUT_29880_0022
-8.429 3oduAB_INPUT_22540_0138
-8.424 3oduAB_INPUT_22003_0088
-8.422 3oduAB_INPUT_22521_0054
-8.422 3oduAB_INPUT_21735_0073
-8.418 3oduAB_INPUT_21911_0074
-8.414 3oduAB_INPUT_21911_0104
-8.414 3oduAB_INPUT_21735_0111
-8.412 3oduAB_INPUT_29856_0066
-8.411 3oduAB_INPUT_21980_0198
-8.409 3oduAB_INPUT_29796_0149
-8.408 3oduAB_INPUT_21781_0036
-8.407 3oduAB_INPUT_21735_0109
-8.405 3oduAB_INPUT_21757_0074
-8.405 3oduAB_INPUT_21919_0154
-8.402 3oduAB_INPUT_21796_0053
-8.391 3oduAB_INPUT_21957_0169
-8.388 3oduAB_INPUT_22610_0175
-8.386 3oduAB_INPUT_22026_0059
-8.383 3oduAB_INPUT_3779_0113
-8.381 3oduAB_INPUT_22701_0103
-8.377 3oduAB_INPUT_21957_0192
-8.371 3oduAB_INPUT_10022_0180
-8.370 3oduAB_INPUT_22601_0164
-8.369 3oduAB_INPUT_21865_0106
-8.369 3oduAB_INPUT_22521_0002
-8.368 3oduAB_INPUT_22461_0102
-8.357 3oduAB_INPUT_21865_0091
-8.355 3oduAB_INPUT_22723_0089
-8.353 3oduAB_INPUT_3803_0068
-8.351 3oduAB_INPUT_21873_0173
-8.342 3oduAB_INPUT_21957_0056
-8.338 3oduAB_INPUT_21819_0134
-8.335 3oduAB_INPUT_22563_0156
-8.334 3oduAB_INPUT_22479_0123
-8.320 3oduAB_INPUT_22631_0148
-8.319 3oduAB_INPUT_21957_0061
-8.288 3oduAB_INPUT_22461_0076
-8.282 3oduAB_INPUT_21957_0162
-8.274 3oduAB_INPUT_21988_0096
-8.271 3oduAB_INPUT_22601_0030
-8.261 3oduAB_INPUT_22610_0171
-8.260 3oduAB_INPUT_21919_0104
-8.254 3oduAB_INPUT_22540_0074
-8.253 3oduAB_INPUT_19791_0032
-8.249 3oduAB_INPUT_21796_0056
-8.244 3oduAB_INPUT_22701_0134
-8.238 3oduAB_INPUT_3717_0125
-8.237 3oduAB_INPUT_22479_0118
-8.236 3oduAB_INPUT_3717_0068
-8.234 3oduAB_INPUT_2437_0045
-8.232 3oduAB_INPUT_21919_0064
-8.230 3oduAB_INPUT_21911_0033
-8.229 3oduAB_INPUT_3779_0140
-8.228 3oduAB_INPUT_21781_0113
-8.225 3oduAB_INPUT_21980_0089
-8.215 3oduAB_INPUT_22460_0035
-8.213 3oduAB_INPUT_21819_0009
-8.213 3oduAB_INPUT_21988_0127
-8.212 3oduAB_INPUT_10022_0047
-8.209 3oduAB_INPUT_22460_0083
-8.208 3oduAB_INPUT_21965_0173
-8.206 3oduAB_INPUT_22540_0183
-8.205 3oduAB_INPUT_21988_0164
-8.201 3oduAB_INPUT_22610_0008
-8.199 3oduAB_INPUT_21827_0050
-8.199 3oduAB_INPUT_21781_0058
-8.199 3oduAB_INPUT_22723_0117
-8.198 3oduAB_INPUT_21796_0036
-8.195 3oduAB_INPUT_22459_0045
-8.191 3oduAB_INPUT_21934_0145
-8.186 3oduAB_INPUT_21796_0097
-8.185 3oduAB_INPUT_22460_0023
-8.184 3oduAB_INPUT_21980_0157
-8.174 3oduAB_INPUT_21757_0075
-8.174 3oduAB_INPUT_3779_0010
-8.172 3oduAB_INPUT_3803_0023
-8.157 3oduAB_INPUT_29796_0150
-8.156 3oduAB_INPUT_21735_0199
-8.148 3oduAB_INPUT_21850_0112
-8.142 3oduAB_INPUT_22048_0181
-8.139 3oduAB_INPUT_22563_0024
-8.132 3oduAB_INPUT_21888_0173
-8.130 3oduAB_INPUT_22701_0014
-8.129 3oduAB_INPUT_22723_0038
-8.126 3oduAB_INPUT_3779_0104
-8.118 3oduAB_INPUT_10642_0134
-8.116 3oduAB_INPUT_3803_0014
-8.115 3oduAB_INPUT_21827_0088
-8.113 3oduAB_INPUT_19791_0115
-8.109 3oduAB_INPUT_21873_0147
-8.108 3oduAB_INPUT_21980_0034
-8.107 3oduAB_INPUT_19791_0121
-8.103 3oduAB_INPUT_22521_0010
-8.102 3oduAB_INPUT_3717_0069
-8.101 3oduAB_INPUT_3717_0099
-8.089 3oduAB_INPUT_21965_0046
-8.086 3oduAB_INPUT_22003_0092
-8.079 3oduAB_INPUT_3717_0107
-8.079 3oduAB_INPUT_10642_0035
-8.078 3oduAB_INPUT_22540_0044
-8.076 3oduAB_INPUT_21850_0111
-8.072 3oduAB_INPUT_22048_0146
-8.069 3oduAB_INPUT_3803_0109
-8.068 3oduAB_INPUT_21957_0142
-8.067 3oduAB_INPUT_3803_0043
-8.049 3oduAB_INPUT_22026_0177
-8.048 3oduAB_INPUT_21735_0108
-8.036 3oduAB_INPUT_21957_0071
-8.031 3oduAB_INPUT_22601_0019
-8.023 3oduAB_INPUT_3717_0173
-8.021 3oduAB_INPUT_29856_0006
-8.020 3oduAB_INPUT_21804_0067
-8.020 3oduAB_INPUT_3779_0095
-8.003 3oduAB_INPUT_21934_0192
-8.002 3oduAB_INPUT_21842_0020
-8.001 3oduAB_INPUT_3803_0056
-7.996 3oduAB_INPUT_22461_0159
-7.996 3oduAB_INPUT_22460_0166
-7.996 3oduAB_INPUT_21757_0172
-7.991 3oduAB_INPUT_22010_0048
-7.987 3oduAB_INPUT_22010_0122
-7.979 3oduAB_INPUT_21842_0131
-7.968 3oduAB_INPUT_3779_0033
-7.965 3oduAB_INPUT_21873_0105
-7.953 3oduAB_INPUT_21888_0188
-7.938 3oduAB_INPUT_21980_0189
-7.938 3oduAB_INPUT_4020_0127
-7.937 3oduAB_INPUT_22631_0015
-7.930 3oduAB_INPUT_4020_0189
-7.919 3oduAB_INPUT_21850_0194
-7.919 3oduAB_INPUT_21827_0140
-7.915 3oduAB_INPUT_21965_0127
-7.910 3oduAB_INPUT_21911_0043
-7.905 3oduAB_INPUT_22010_0078
-7.900 3oduAB_INPUT_21980_0088
-7.895 3oduAB_INPUT_21934_0062
-7.894 3oduAB_INPUT_22631_0069
-7.892 3oduAB_INPUT_3803_0105
-7.891 3oduAB_INPUT_2437_0195
-7.889 3oduAB_INPUT_4020_0130
-7.886 3oduAB_INPUT_22010_0197
-7.883 3oduAB_INPUT_19791_0073
-7.872 3oduAB_INPUT_21911_0185
-7.870 3oduAB_INPUT_22701_0049
-7.870 3oduAB_INPUT_22003_0085
-7.863 3oduAB_INPUT_3779_0118
-7.852 3oduAB_INPUT_21804_0087
-7.849 3oduAB_INPUT_29880_0071
-7.847 3oduAB_INPUT_21965_0115
-7.845 3oduAB_INPUT_10022_0076
-7.843 3oduAB_INPUT_21804_0041
-7.831 3oduAB_INPUT_19791_0093
-7.830 3oduAB_INPUT_29880_0019
-7.829 3oduAB_INPUT_22010_0133
-7.828 3oduAB_INPUT_21781_0183
-7.823 3oduAB_INPUT_22563_0140
-7.823 3oduAB_INPUT_21735_0077
-7.821 3oduAB_INPUT_29856_0058
-7.820 3oduAB_INPUT_22631_0192
-7.816 3oduAB_INPUT_22678_0024
-7.810 3oduAB_INPUT_21865_0167
-7.809 3oduAB_INPUT_22010_0086
-7.809 3oduAB_INPUT_22701_0171
-7.805 3oduAB_INPUT_22678_0053
-7.797 3oduAB_INPUT_22601_0118
-7.793 3oduAB_INPUT_22521_0014
-7.789 3oduAB_INPUT_21842_0074
-7.788 3oduAB_INPUT_21819_0110
-7.781 3oduAB_INPUT_2437_0052
-7.779 3oduAB_INPUT_22540_0141
-7.775 3oduAB_INPUT_22678_0190
-7.774 3oduAB_INPUT_21980_0193
-7.773 3oduAB_INPUT_22701_0188
-7.771 3oduAB_INPUT_21735_0064
-7.767 3oduAB_INPUT_21896_0091
-7.767 3oduAB_INPUT_29856_0114
-7.762 3oduAB_INPUT_22460_0142
-7.757 3oduAB_INPUT_22563_0137
-7.746 3oduAB_INPUT_21934_0009
-7.745 3oduAB_INPUT_22460_0172
-7.744 3oduAB_INPUT_29856_0171
-7.743 3oduAB_INPUT_21757_0094
-7.742 3oduAB_INPUT_22631_0109
-7.740 3oduAB_INPUT_10022_0170
-7.736 3oduAB_INPUT_21888_0095
-7.732 3oduAB_INPUT_22601_0165
-7.730 3oduAB_INPUT_21888_0033
-7.720 3oduAB_INPUT_22631_0114
-7.720 3oduAB_INPUT_21896_0086
-7.719 3oduAB_INPUT_21850_0005
-7.719 3oduAB_INPUT_22601_0094
-7.718 3oduAB_INPUT_21735_0040
-7.714 3oduAB_INPUT_4020_0039
-7.710 3oduAB_INPUT_22678_0094
-7.693 3oduAB_INPUT_29856_0016
-7.689 3oduAB_INPUT_21842_0084
-7.688 3oduAB_INPUT_21819_0190
-7.686 3oduAB_INPUT_21819_0042
-7.685 3oduAB_INPUT_3717_0143
-7.677 3oduAB_INPUT_21896_0123
-7.675 3oduAB_INPUT_2437_0102
-7.671 3oduAB_INPUT_21757_0036
-7.666 3oduAB_INPUT_21827_0165
-7.660 3oduAB_INPUT_3779_0111
-7.657 3oduAB_INPUT_22461_0064
-7.655 3oduAB_INPUT_21957_0013
-7.655 3oduAB_INPUT_22459_0117
-7.651 3oduAB_INPUT_22701_0127
-7.622 3oduAB_INPUT_29796_0164
-7.620 3oduAB_INPUT_22601_0015
-7.619 3oduAB_INPUT_10022_0112
-7.617 3oduAB_INPUT_21919_0018
-7.617 3oduAB_INPUT_29856_0133
-7.611 3oduAB_INPUT_21804_0023
-7.608 3oduAB_INPUT_21827_0090
-7.608 3oduAB_INPUT_22678_0074
-7.607 3oduAB_INPUT_22479_0124
-7.607 3oduAB_INPUT_21919_0099
-7.607 3oduAB_INPUT_22461_0146
-7.607 3oduAB_INPUT_21804_0095
-7.601 3oduAB_INPUT_22048_0105
-7.593 3oduAB_INPUT_22601_0002
-7.592 3oduAB_INPUT_22026_0175
-7.589 3oduAB_INPUT_3779_0056
-7.585 3oduAB_INPUT_2437_0179
-7.584 3oduAB_INPUT_21757_0194
-7.581 3oduAB_INPUT_21781_0081
-7.576 3oduAB_INPUT_29796_0046
-7.575 3oduAB_INPUT_22461_0145
-7.566 3oduAB_INPUT_22461_0179
-7.564 3oduAB_INPUT_22461_0192
-7.563 3oduAB_INPUT_22048_0117
-7.563 3oduAB_INPUT_21850_0179
-7.558 3oduAB_INPUT_21896_0041
-7.555 3oduAB_INPUT_21942_0132
-7.549 3oduAB_INPUT_22610_0020
-7.548 3oduAB_INPUT_10642_0031
-7.547 3oduAB_INPUT_21842_0042
-7.542 3oduAB_INPUT_3803_0074
-7.541 3oduAB_INPUT_21757_0102
-7.540 3oduAB_INPUT_29796_0178
-7.538 3oduAB_INPUT_22723_0187
-7.537 3oduAB_INPUT_10642_0160
-7.535 3oduAB_INPUT_22460_0187
-7.531 3oduAB_INPUT_10642_0165
-7.514 3oduAB_INPUT_22723_0162
-7.507 3oduAB_INPUT_21988_0021
-7.505 3oduAB_INPUT_21757_0138
-7.505 3oduAB_INPUT_21757_0139
-7.500 3oduAB_INPUT_21819_0148
-7.496 3oduAB_INPUT_22459_0186
-7.492 3oduAB_INPUT_22610_0164
-7.491 3oduAB_INPUT_3803_0131
-7.488 3oduAB_INPUT_22048_0027
-7.480 3oduAB_INPUT_21827_0094
-7.479 3oduAB_INPUT_3803_0171
-7.473 3oduAB_INPUT_19791_0074
-7.469 3oduAB_INPUT_21781_0099
-7.466 3oduAB_INPUT_21796_0059
-7.466 3oduAB_INPUT_21781_0170
-7.465 3oduAB_INPUT_21842_0098
-7.462 3oduAB_INPUT_21919_0195
-7.460 3oduAB_INPUT_21888_0076
-7.460 3oduAB_INPUT_10642_0091
-7.459 3oduAB_INPUT_21888_0174
-7.459 3oduAB_INPUT_29773_0106
-7.456 3oduAB_INPUT_22540_0101
-7.455 3oduAB_INPUT_10642_0030
-7.453 3oduAB_INPUT_22701_0174
-7.453 3oduAB_INPUT_4020_0173
-7.453 3oduAB_INPUT_22010_0090
-7.453 3oduAB_INPUT_21757_0117
-7.452 3oduAB_INPUT_22631_0082
-7.447 3oduAB_INPUT_21988_0053
-7.436 3oduAB_INPUT_21827_0163
-7.435 3oduAB_INPUT_21842_0007
-7.434 3oduAB_INPUT_22003_0124
-7.432 3oduAB_INPUT_21934_0107
-7.432 3oduAB_INPUT_21942_0157
-7.426 3oduAB_INPUT_19791_0157
-7.417 3oduAB_INPUT_29880_0147
-7.411 3oduAB_INPUT_22678_0125
-7.409 3oduAB_INPUT_21911_0090
-7.407 3oduAB_INPUT_3803_0025
-7.401 3oduAB_INPUT_22479_0001
-7.395 3oduAB_INPUT_22459_0027
-7.394 3oduAB_INPUT_29773_0181
-7.391 3oduAB_INPUT_3779_0049
-7.390 3oduAB_INPUT_29773_0065
-7.390 3oduAB_INPUT_22026_0162
-7.389 3oduAB_INPUT_21965_0054
-7.387 3oduAB_INPUT_22655_0109
-7.385 3oduAB_INPUT_22010_0070
-7.379 3oduAB_INPUT_22610_0152
-7.375 3oduAB_INPUT_3717_0184
-7.373 3oduAB_INPUT_21934_0003
-7.365 3oduAB_INPUT_21965_0183
-7.365 3oduAB_INPUT_21819_0147
-7.361 3oduAB_INPUT_22563_0179
-7.361 3oduAB_INPUT_21796_0017
-7.358 3oduAB_INPUT_29856_0173
-7.348 3oduAB_INPUT_22655_0066
-7.346 3oduAB_INPUT_10642_0061
-7.339 3oduAB_INPUT_21804_0030
-7.334 3oduAB_INPUT_22003_0177
-7.329 3oduAB_INPUT_29796_0074
-7.322 3oduAB_INPUT_21842_0076
-7.320 3oduAB_INPUT_3803_0047
-7.317 3oduAB_INPUT_22479_0193
-7.312 3oduAB_INPUT_22540_0168
-7.310 3oduAB_INPUT_22048_0104
-7.302 3oduAB_INPUT_21942_0033
-7.292 3oduAB_INPUT_22460_0100
-7.285 3oduAB_INPUT_3717_0082
-7.284 3oduAB_INPUT_21934_0123
-7.283 3oduAB_INPUT_22540_0036
-7.282 3oduAB_INPUT_21965_0145
-7.275 3oduAB_INPUT_4020_0080
-7.274 3oduAB_INPUT_21735_0151
-7.273 3oduAB_INPUT_22026_0135
-7.272 3oduAB_INPUT_21850_0152
-7.271 3oduAB_INPUT_10022_0034
-7.270 3oduAB_INPUT_21942_0007
-7.266 3oduAB_INPUT_3803_0141
-7.265 3oduAB_INPUT_21804_0133
-7.263 3oduAB_INPUT_22631_0060
-7.256 3oduAB_INPUT_21781_0053
-7.245 3oduAB_INPUT_21942_0100
-7.244 3oduAB_INPUT_29773_0050
-7.243 3oduAB_INPUT_22048_0189
-7.238 3oduAB_INPUT_22723_0121
-7.238 3oduAB_INPUT_22601_0044
-7.235 3oduAB_INPUT_21757_0189
-7.232 3oduAB_INPUT_21804_0036
-7.230 3oduAB_INPUT_21888_0141
-7.229 3oduAB_INPUT_3779_0015
-7.229 3oduAB_INPUT_22540_0042
-7.225 3oduAB_INPUT_22723_0104
-7.219 3oduAB_INPUT_29796_0115
-7.219 3oduAB_INPUT_22010_0015
-7.219 3oduAB_INPUT_22460_0133
-7.216 3oduAB_INPUT_21735_0004
-7.210 3oduAB_INPUT_21842_0105
-7.208 3oduAB_INPUT_21842_0040
-7.206 3oduAB_INPUT_21850_0028
-7.199 3oduAB_INPUT_22540_0169
-7.192 3oduAB_INPUT_21934_0015
-7.189 3oduAB_INPUT_22563_0050
-7.188 3oduAB_INPUT_21957_0076
-7.186 3oduAB_INPUT_22003_0097
-7.186 3oduAB_INPUT_22460_0030
-7.180 3oduAB_INPUT_3779_0177
-7.172 3oduAB_INPUT_2437_0170
-7.171 3oduAB_INPUT_22240_0001
